DateTime,Entries,UniqueIPs
1478871668,4562,4702
1478878269,4563,4702
1478883666,4563,4702
1478888466,4566,4705
1478894471,4567,4705
1478899872,4571,4707
1478905872,4579,4717
1478911276,4586,4724
1478919675,4595,4733
1478927473,4577,4715
1478934071,4593,4732
1478940066,4590,4728
1478946669,4587,4725
1478952665,4584,4721
1478959264,4577,4714
1478964068,4560,4699
1478970068,4566,4707
1478974868,4633,4775
1478980874,4643,4786
1478985672,4645,4788
1478991673,4644,4788
1478997075,4652,4800
1479003077,4654,4802
1479010273,4652,4803
1479017487,4676,4828
1479022872,4679,4829
1479030670,4678,4828
1479036676,4682,4833
1479042666,4690,4840
1479047468,4687,4836
1479052873,4689,4839
1479057670,4694,4844
1479063679,4739,4892
1479069078,4746,4899
1479075079,4752,4905
1479082284,4761,4913
1479087679,4741,4891
1479095479,4764,4916
1479102677,4760,4913
1479109873,4773,4929
1479117072,4771,4927
1479123673,4770,4927
1479132074,4761,4918
1479138673,4770,4928
1479145268,4779,4939
1479151869,4838,4996
1479157867,4827,4984
1479165069,4826,4982
1479173474,4826,4981
1479180673,4845,5002
1479186674,4854,5010
1479194479,4836,4992
1479201679,4838,4993
1479208281,4852,5009
1479214271,4840,4995
1479220869,4848,5003
1479228070,4830,4983
1479232875,4884,5032
1479238879,4930,5097
1479244281,4925,5094
1479251478,4929,5097
1479259290,4931,5099
1479266479,4953,5122
1479273679,4946,5116
1479280873,4945,5108
1479288682,4925,5086
1479295877,4939,5100
1479302477,4947,5109
1479309677,4939,5101
1479316281,4945,5108
1479323485,5003,5165
1479331284,4997,5156
1479339082,5009,5170
1479346282,5008,5170
1479352875,5011,5171
1479359503,5009,5172
1479367279,5003,5169
1479374480,5007,5173
1479381687,5007,5173
1479388286,5009,5173
1479396083,5001,5157
1479403285,5013,5170
1479410481,5113,5272
1479418880,5134,5293
1479426087,5155,5318
1479433883,5139,5302
1479441682,5138,5301
1479449484,5144,5308
1479457880,5144,5308
1479464474,5139,5300
1479472279,5162,5324
1479478884,5139,5302
1479486683,5148,5311
1479493286,5196,5360
1479501084,5183,5347
1479507083,5174,5336
1479514278,5192,5357
1479519680,5185,5347
1479527478,5185,5346
1479534678,5196,5358
1479541878,5169,5331
1479548478,5148,5311
1479555679,5156,5318
1479562876,5163,5326
1479570080,5172,5335
1479577279,5199,5362
1479582679,5246,5411
1479589877,5250,5415
1479594684,5244,5409
1479600076,5246,5411
1479606077,5254,5419
1479613277,5261,5425
1479618677,5276,5441
1479625284,5270,5435
1479631273,5262,5427
1479636674,5269,5435
1479641479,5242,5408
1479647473,5254,5420
1479652872,5255,5423
1479659477,5253,5418
1479664882,5332,5498
1479670876,5339,5505
1479677480,5332,5497
1479682875,5324,5488
1479688873,5326,5490
1479694881,5313,5474
1479702679,5325,5488
1479708675,5310,5470
1479715871,5315,5475
1479723080,5307,5466
1479730881,5292,5450
1479738082,5307,5468
1479744677,5281,5441
1479757277,5290,5449
1479762075,5275,5436
1479767481,5284,5445
1479772883,5267,5428
1479778280,5347,5510
1479784878,5311,5473
1479792078,5322,5485
1479799279,5333,5495
1479805871,5336,5499
1479813080,5327,5488
1479820276,5304,5461
1479827479,5321,5479
1479835279,5328,5486
1479841285,5383,5540
1479846682,5385,5544
1479853279,5375,5533
1479859877,5337,5494
1479866475,5353,5510
1479872470,5320,5475
1479879671,5315,5469
1479886873,5299,5435
1479893471,5314,5450
1479899475,5300,5437
1479904277,5281,5417
1479910275,5284,5420
1479915072,5281,5417
1479921076,5386,5526
1479928274,5405,5547
1479935475,5416,5559
1479940274,5384,5529
1479946273,5364,5506
1479952875,5359,5498
1479958877,5349,5490
1479966078,5375,5515
1479973881,5372,5512
1479981675,5363,5504
1479987679,5354,5490
1479995478,5346,5482
1480001480,5355,5491
1480007479,5320,5455
1480012879,5489,5642
1480018280,5477,5629
1480025488,5490,5643
1480033291,5414,5562
1480040487,5450,5598
